,会社名,タイトル名,項目C
0,パーソルエクセルHRパートナーズ株式会社 | テレワーク有｜年休120日｜土日休｜年収400万～可｜社員雇用前提,在宅勤務有＆残業無！パナソニックグループの【事務】経験者募集 紹介予定派遣,
1,株式会社コプロ・エンジニアード | 東証・名証一部上場のコプロ・ホールディングスグループ,年間休日125日でプライベート充実【管理事務】★未経験歓迎 正社員,
2,パーソルテンプスタッフ株式会社 | 大手・優良企業で20代女性活躍中♪定時退社可★土日祝休み,在宅勤務OK【事務スタッフ】事務デビュー◎社会人経験があればOK 正社員,
3,株式会社リクルートスタッフィング | リクルートグループの正社員として活躍！★在宅ワークも実施中,【人事アシスタント】20代女性活躍中★土日祝休み★残業少なめ 正社員,
4,株式会社リクルートスタッフィング | 産休・育休取得率&復職率100% ◆土日祝休み♪在宅ワークも実施中,20代女性活躍中♪【事務スタッフ】年間休日122日♪★全国募集 正社員,
5,株式会社スタッフサービス | ＜残業ほぼ無し＞年間休日125日★未経験70％★産育休復帰多数,在宅勤務が叶う★プライベート重視派歓迎【総務事務】全国募集 正社員,
6,株式会社スタッフサービス | 未経験でも安心の研修＆サポート制度★年間休日125日★転勤なし,★面接1回★在宅あり【営業事務】基本定時＆お休みたっぷり♪ 正社員,
7,株式会社スタッフサービス | 在宅あり★服装自由・ネイルOKも選べる★土日祝休み,【事務】ロッテ・サントリーなど、憧れの人気企業で働く♪ 一般派遣,
8,UTエイム株式会社 | 【東証一部上場グループ】★オンライン面接実施中→12月入社可！,未経験歓迎【物流管理事務スタッフ】ワークライフバランス良好◎ 正社員,
9,株式会社アーネストワン | ★東証一部上場グループ ★完全週休2日 ★賞与年2回,【事務スタッフ】★未経験歓迎 ★土日休み ★基本残業なし 正社員,
10,Rセキュリティ株式会社 | 20年連続増収増益◆2020年3～8月は売上前年比”130％以上”,未経験OK★ゼロから始める【事務スタッフ】★平均月収38万9994円 正社員,
11,株式会社スタッフサービス | <在宅あり>豊富な研修制度★育休取得率100％★女性活躍中,在宅勤務＆お休みたっぷりの【事務】プライベート充実の働き方♪ 正社員,
12,株式会社スタッフサービス | 土日祝休＆残業ほぼなし★服装自由・ネイルOKも選べる,在宅勤務あり★紹介予定派遣だからミスマッチがなく安心【事務】 紹介予定派遣,
13,株式会社ワット・コンサルティング | CADの研修本も出版！★未経験向け研修カリキュラム期間No.1,未経験から手に職をつける【CAD事務】質の高い研修をご用意★ 正社員,
14,TDCX Japan株式会社 | ★未経験歓迎！★残業月5時間以下・完全週休2日★服装・髪色自由,外資系エアライン・Airbnb・スマホ等【カスタマーサポート】 契約社員,
15,株式会社ミニミニ | 中部本部｜*● 愛知県限定募集 好きな街でずっと働けます●*,【 ルームアドバイザー 】★未経験でも月給24万円～★残業少なめ 正社員,
16,株式会社リクルートスタッフィング | 大手&有名企業等で理想の働き方を★在宅ワーク実施中/土日祝休み,女性活躍中！【広告業界の事務アシスタント】★残業少＆休日充実 正社員,
17,株式会社スタッフサービス | <女性活躍中>充実のサポート制度♪土日祝休み★基本定時退社,未経験から手に職を★基礎から学べる環境【経理事務】※在宅あり 正社員,
18,株式会社リクルートスタッフィング | 大手&有名企業等で理想の働き方を★在宅ワーク実施中/土日祝休み,【総務事務】20代女性活躍中★残業少なめ＆お休みたっぷり 正社員,
19,株式会社リクルートスタッフィング | キャリアウィンク★有名＆安定企業で働ける♪在宅ワークも実施中,【貿易事務】20代女性活躍中♪月給制＆賞与年2回★土日祝休み 正社員,
20,株式会社アール・ファクトリー | ★完全週休2日制（土日祝）★年間休日120日以上★残業もほぼなし,オフィスワーク&ITデビューを応援します！【サポート事務】 正社員,
21,株式会社メイホーアティーボ | 引っ越し支援あり／家電付きの寮入居可能／完全土日祝休,【 進行管理事務スタッフ 】★上場企業グループで事務デビュー★ 正社員,
22,株式会社SPIN TECHNOLOGY | ◆完全週休2日（基本土日休み）◆年休125日以上◆残業ほぼなし,【初級ITエンジニア】★IT未経験歓迎⇒サポート業務からStart♪ 正社員,
23,テクバン株式会社 | 【創業以来黒字経営／産育休・復帰実績多数♪／賞与年2回】,未経験歓迎！【ITサポート事務】土日祝休★残業月10H★年休124日 正社員,
24,株式会社グラム | ★20～40代女性活躍中★スピード選考・入社も可能！,【医療事務】★未経験＆無資格もOK★勤務時間なども応相談！ パート・アルバイト,
25,株式会社Ｄｏ　ｉｔプランニング | ＼頑張りはしっかり評価／6万円の昇給アップを叶える社員も♪,★未経験OK★【事務】◎残業ほぼなし/土日休み ◎月給25万円～ 正社員,
26,株式会社公文教育研究会 | ★教室日は11時以降の出勤 ★フレックス勤務※ ★正社員登用あり,【KUMON教室担当社員】週2日は先生業務、週3日は教室事務 契約社員,
27,住友生命保険相互会社 | ＜都北支社＞◎赤羽勤務◎正社員◎土日休み◎退職金制度あり◎,【ライフデザイナー】まずはお気軽に会社見学へお越しください！ 正社員,
28,サークレイス株式会社 | ◆既に1000社以上のシステム運用支援実績 ◆定着率93％の高水準,【カスタマーサクセス】Salesforceを通じてビジネス成功を支援 正社員,
29,サークレイス株式会社 | Excelスキルを活かせる運用支援です♪ ☆産休・育休実績多数,【ITサポート事務】☆月給27.5万円以上スタート ☆土日祝休み 正社員,
30,株式会社ライト社 | 大手企業と安定取引を継続/未経験歓迎/大阪府緊急雇用対策に賛同,【総合職（営業事務・企画営業）】※土日祝休／年間休日122日 正社員,
31,三井住友トラスト・ビジネスサービス株式会社 | 東西同時募集（転勤なし）★プラチナえるぼし認定★残業月平均8H,【金融事務】20~30代活躍！ワークライフバランスが取れる環境！ 正社員,
32,株式会社エフステージ | 【リノベーション事業で業績拡大中】★週休2日 ★年3回の8連休有,自社リノベマンションの【営業事務】平均年齢27歳/残業ほぼなし 正社員,
33,株式会社ヒューマンウェア | 大手優良企業の事務として活躍／完全週休2日(土日祝)／WEB面接可,【事務系総合職】★年休120日以上★残業ほぼ無し★第二新卒歓迎 正社員,
34,株式会社ami | ★大手企業と安定取引★土日祝休み★年休125日～★残業月30h程度,企業研修をサポート！【研修運営事務】未経験OK★年休125日以上 正社員,
35,株式会社ニップコーポレーション | 【創業60年以上の総合インテリア商社】,【営業事務】未経験OK/研修制度あり/年休120日以上/残業少なめ 正社員,
36,住信SBIネット銀行株式会社 | 三井住友信託銀行とSBI HDが共同出資する業界大手のネット銀行,【総合職・特定職（住宅ローン営業・事務／代理店営業・管理）】 正社員,
37,イワタニ九州株式会社 | ★基本完全週休2日制(土日祝) ★産育休取得実績あり ★未経験OK,★ライフラインを支える安定企業で長く働ける！【事務スタッフ】 正社員,
38,医療法人社団 めぐみ会 | 500名規模の医療グループ★週休2日/福利厚生充実/残業月平均20h,【医療事務総合職(医療機関の運営業務等)】未経験/既卒歓迎 正社員,
39,Ｊーアグリ株式会社 | 牧草の専門商社*FARMER TO FARMER*で農業を支えるグローバル企業,営業事務から貿易事務まで　―語学スキルが活かせる―【事務職】 正社員,
40,中央港運株式会社 | 設立72年の老舗企業★土日祝休み・完全週休2日制,【総務スタッフ】未経験歓迎☆年間休日121日☆若手男性活躍中！ 正社員,
41,株式会社エスイージー | ★オリジナルの時短休暇制度・産休育休実績あり／残業ほぼなし！,【教務事務】教育業界に興味がある！事務に転職希望の方大歓迎！ 正社員,
42,中西電機工業株式会社 | 「あの看板」を見たことあるかも!? ※土日祝休／時短／育休OK,【一般事務】20代女性活躍中！※賞与額4.52ヶ月分♪@浜松募集 正社員,
43,株式会社保全工学研究所 | ビル・橋・トンネルや地盤の調査・解析を行う国内有数の成長企業,【事務系総合職】完全週休2日★土日祝休み★20～30代女性活躍中 正社員,
44,株式会社Ｐｏｌｉｔｅ | 化粧品等を自社企画★産休育休の取得実績あり★リモートワーク可,【営業事務】オフィスワークデビュー大歓迎！土日祝日は完全休み 正社員,
45,ジック株式会社 | ＜人気ブランドを扱う自転車メーカー＞2020年は賞与年4回支給♪,【総合職(事務/商品管理)】年休125日＊残業月10h＊女性活躍中！ 正社員,
46,株式会社エイワ | 【全国25店舗を展開】安心&安定感が自慢の会社◎賞与年3回,★土日祝休み＆年休120日★【受付事務】未経験OK！経験者優遇 正社員,
47,株式会社信龍 | 【業績好調／建設機械の輸出に特化した成長企業！】★昇給年2回,【貿易事務】在宅勤務も可能★年間休日127日&残業ほぼなし 正社員,
48,六合株式会社 | ◎来年で創業75周年を迎える老舗安定企業,【建築事務】月給25万円～／完休2日制(土日祝)／オフィスワーク 正社員,
49,日本ユーテンシル株式会社 | ☆プチギフト『タオルケーキ』など、メディアでの紹介実績多数！,創業54年！抜群の安定性を誇る雑貨メーカーの【事務スタッフ】 正社員,
50,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★神奈川県限定 正社員,
51,株式会社東伸サービス | SDGs達成や地球環境保全にも貢献★残業月1時間程／長期休暇あり,週休2日/土日★キャリア広がる【 事務スタッフ 】※未経験OK！ 正社員,
52,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★千葉勤務限定 正社員,
53,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★埼玉勤務限定 正社員,
54,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★広島勤務限定 正社員,
55,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★宮城勤務限定 正社員,
56,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★兵庫勤務限定 正社員,
57,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★福岡勤務限定 正社員,
58,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★大阪勤務限定 正社員,
59,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★愛知勤務限定 正社員,
60,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★東京勤務限定 正社員,
61,有限会社AlphaStyleSolution | 販売・サービス・ホテル・保育など異業種出身の先輩が多数☆,未経験歓迎！【事務スタッフ】※土日休み／残業月10h以内 正社員,
62,株式会社スタッフサービス | ＜未経験歓迎＞★プライベート充実の働き方を応援します,【総務事務】研修充実♪未経験から女性が活躍中★京都・滋賀限定 正社員,
63,株式会社あんしんネット21 | 名古屋エリアNo.1のシェアを誇るつばめグループ★残業なし,未経験OK★タクシーの【 予約管理スタッフ 】★伏見勤務(駅チカ) 正社員,
64,昭和鶏卵株式会社 | 東証1部上場の食品メーカー「昭和産業株式会社」の100％子会社,〈未経験歓迎〉食品メーカーの【事務職】★完全週休2日制 正社員,
65,有限会社CVC | 自分のペースで活躍できる環境★20代～30代活躍中！,無理なく働ける！【事務スタッフ】残業10h程度×完全週休2日制 正社員,
66,株式会社東洋商会 | ＜創業65年＞世界40ヶ国以上とお取引のある自動車部品の専門商社,創業65年の専門商社で経験を活かす！【貿易事務】◎男女 正社員,
67,東3冷凍機株式会社 | ダイキンの特工店／販売実績12年連続全国1位(※)／関東で拡大中,【営業事務】★経験を活かし、バックオフィスから営業を支える★ 正社員,
68,株式会社カネダ技研 | 敷地内全面禁煙／トップクラスシェアを誇るとじ具のパイオニア,ファイルに使用するとじ具を開発製造販売する企業の【営業事務】 正社員,
69,ユナイト株式会社 | 東証一部上場・（株）カナモトグループ会社（マイカー通勤OK）,未経験OK【事務スタッフ】「高槻」勤務◆賞与4.2ヶ月実績 正社員,
70,株式会社ミート・コンパニオン | ★土日祝休 ★賞与年2回 ★女性社員活躍中 ★産休・育休実績豊富,安心・安全なお肉を届ける【営業事務スタッフ】★残業月10Ｈ程度 正社員,
71,株式会社ヤナセ薬局 | ●創立1941年｜豊田から日進で調剤薬局・ドラッグストアを展開中,未経験OK！【調剤事務】★残業ほぼナシ／20～30代が活躍中♪ 正社員,
72,株式会社パーキングソリューションズ | 東証一部上場「大和ハウス工業」のグループ会社,【事務】（購買・在庫管理など）★未経験歓迎 ★年間休日123日 正社員,
73,メディア株式会社 | 【歯科医療ICT分野のリーディングカンパニー】★福利厚生も充実,歯科のIT化を支える【サポート事務】＊土日休＊年休126日＊ 正社員,
74,JIG-SAW株式会社 | 【東証マザーズ上場】10万円の引越支援あり！U・Iターンもぜひ！,【ヘルプデスク】札幌駅直結☆未経験歓迎☆残業月10h☆有給推奨 正社員,
75,北陸酪農業協同組合連合会 | 農林水産大臣から指定を受けた「北陸地域の指定生乳生産者団体」,酪農家と消費者の架け橋に！【需給調整スタッフ】 ★未経験歓迎 正社員,
76,中西電機工業株式会社 | 「あの看板」を見たことあるかも!? ※土日祝休／時短／育休OK,【一般事務】20代女性活躍中！事務も賞与年2回あり♪@名古屋募集 正社員,
77,株式会社マリーゴールドホールディングス | 【 アイリーナat福山店／広島店／松山店 】★転勤一切なし！,花嫁の希望に寄り添う【ドレスコーディネーター】※未経験者OK 正社員,
78,株式会社ケイディアイ | 【東証一部上場のナックグループ】★完全週休2日制★残業少なめ,住宅会社での【建設事務】◎未経験歓迎／賞与年2回／銀座勤務 正社員,
